Searchable Tobacco Products Database data as of 08/05/2026

"Company","Product Name","Category","Sub-Category","Submission Type - Marketing Authority","Date of Action","Order Letter","Decision Summary","Environmental Assessment","FONSI","STN","Associated MRTP","Additional Information","Additional Information Link"
"22nd Century Group Inc.","Moonlight®","Cigarette","Filtered","PMTA - Marketing Granted Order","12/17/2019","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_MGO-PM0000491-492.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_TPLRev-PM0000491492_0.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_EnvAsm-PM0000491492.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_FONSI-PM0000491-492.pdf","PM0000491","MR0000159","The modified risk granted order for this product reflects a change in the product name to VLN King. Contact the manufacturer with questions.",""
"22nd Century Group Inc.","Moonlight® Menthol","Cigarette","Filtered","PMTA - Marketing Granted Order","12/17/2019","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_MGO-PM0000491-492.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_TPLRev-PM0000491492_0.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_EnvAsm-PM0000491492.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_FONSI-PM0000491-492.pdf","PM0000492","MR0000160","The modified risk granted order for this product reflects a change in the product name to VLN King. Contact the manufacturer with questions.",""
"A. Fuente & Co., LLC","Arturo Fuente Cubanitos","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/05/2020","N/A","N/A","N/A","N/A","GF2010665","","",""
"A. Fuente & Co., LLC","Arturo Fuente Exquisitos Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2010974","","",""
"A. Fuente & Co., LLC","Arturo Fuente Exquisitos Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/26/2021","N/A","N/A","N/A","N/A","GF2010975","","",""
"A. Fuente & Co., LLC","Arturo Fuente Exquisitos Sun Grown","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/26/2021","N/A","N/A","N/A","N/A","GF2010981","","",""
"A. Fuente & Co., LLC","Arturo Fuente Petit Corona Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/26/2021","N/A","N/A","N/A","N/A","GF2010983","","",""
"A. Fuente & Co., LLC","Arturo Fuente Petit Corona Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010984","","",""
"A. Fuente & Co., LLC","Bauza Petit Corona","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010985","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Perfecxion No.5","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010986","","",""
"A. Fuente & Co., LLC","Montesino Diplomatico Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010987","","",""
"A. Fuente & Co., LLC","Arturo Fuente Brevas Royale Boy","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2010988","","",""
"A. Fuente & Co., LLC","Arturo Fuente Brevas Royale Girl","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2010989","","",""
"A. Fuente & Co., LLC","Arturo Fuente Brevas Royale Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010990","","",""
"A. Fuente & Co., LLC","Don Carlos No. 3","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010991","","",""
"A. Fuente & Co., LLC","Montesino No. 2 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010992","","",""
"A. Fuente & Co., LLC","Arturo Fuente Cuban Corona Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010993","","",""
"A. Fuente & Co., LLC","Arturo Fuente Cuban Corona Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2010994","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Fuente Fuente","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010996","","",""
"A. Fuente & Co., LLC","Casa Fuente Corona Gorda Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010999","","",""
"A. Fuente & Co., LLC","Hemingway Signature I Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2011002","","",""
"A. Fuente & Co., LLC","Hemingway Signature I Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2011005","","",""
"A. Fuente & Co., LLC","Arturo Fuente Corona Imperial Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011010","","",""
"A. Fuente & Co., LLC","Arturo Fuente Corona Imperial Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011014","","",""
"A. Fuente & Co., LLC","Arturo Fuente Corona Imperial Seleccion D'Oro Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","08/20/2021","N/A","N/A","N/A","N/A","GF2011020","","",""
"A. Fuente & Co., LLC","Hemingway Classic V Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","12/01/2020","N/A","N/A","N/A","N/A","GF2011025","","",""
"A. Fuente & Co., LLC","Hemingway Classic V Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011028","","",""
"A. Fuente & Co., LLC","Montesino Napoleon Grande Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","12/03/2020","N/A","N/A","N/A","N/A","GF2011030","","",""
"A. Fuente & Co., LLC","Montesino Napoleon Grande Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/19/2020","N/A","N/A","N/A","N/A","GF2011032","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Perfecxion A","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","09/29/2020","N/A","N/A","N/A","N/A","GF2011035","","",""
"A. Fuente & Co., LLC","Montesino Gran Corona Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011037","","",""
"A. Fuente & Co., LLC","Arturo Fuente Churchill Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011038","","",""
"A. Fuente & Co., LLC","Arturo Fuente Churchill Claro Claro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011039","","",""
"A. Fuente & Co., LLC","Arturo Fuente Churchill Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011040","","",""
"A. Fuente & Co., LLC","Arturo Fuente Reserva Anejo No. 49 Xtra Viejo Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011043","","",""
"A. Fuente & Co., LLC","Arturo Fuente Reserva Anejo No. 50 Xtra Viejo Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011044","","",""
"A. Fuente & Co., LLC","Arturo Fuente Canones Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/27/2020","N/A","N/A","N/A","N/A","GF2011045","","",""
"A. Fuente & Co., LLC","Arturo Fuente Canones Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/27/2020","N/A","N/A","N/A","N/A","GF2011046","","",""
"A. Fuente & Co., LLC","Arturo Fuente Chateau Fuente Cuban Belicoso Sun Grown","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/27/2020","N/A","N/A","N/A","N/A","GF2011047","","",""
"A. Fuente & Co., LLC","Arturo Fuente Chateau Fuente Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","03/10/2021","N/A","N/A","N/A","N/A","GF2011048","","",""
"A. Fuente & Co., LLC","Arturo Fuente Chateau Fuente Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","03/10/2021","N/A","N/A","N/A","N/A","GF2011049","","",""
"A. Fuente & Co., LLC","Arturo Fuente Chateau Fuente Sun Grown","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011050","","",""
"A. Fuente & Co., LLC","Arturo Fuente Churchill Seleccion D'Oro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011051 ","","",""
"A. Fuente & Co., LLC","Arturo Fuente Rothschilds Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011052","","",""
"A. Fuente & Co., LLC","Arturo Fuente Rothschilds Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011053","","",""
"A. Fuente & Co., LLC","Don Carlos Belicoso","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011055","","",""
"A. Fuente & Co., LLC","Don Carlos Double Robusto","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011056","","",""
"A. Fuente & Co., LLC","Don Carlos Presidente","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011057","","",""
"A. Fuente & Co., LLC","Don Carlos Robusto","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011058","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Double Corona","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011059","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Robusto","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011060","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Super Belicoso","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011061","","",""
"A. Fuente & Co., LLC","Bauza Robusto","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/14/2020","N/A","N/A","N/A","N/A","GF2011062","","",""
"A. Fuente & Co., LLC","Montesino Belicoso No. 2","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","03/10/2021","N/A","N/A","N/A","N/A","GF2011063","","",""
"A. Fuente & Co., LLC","Montesino Pyramid Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","03/11/2021","N/A","N/A","N/A","N/A","GF2011064","","",""
"A. Fuente & Co., LLC","Montesino Robusto Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","03/10/2021","N/A","N/A","N/A","N/A","GF2011065","","",""
"A. Fuente & Co., LLC","Montesino Robusto Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/18/2020","N/A","N/A","N/A","N/A","GF2011066","","",""
"A. Fuente & Co., LLC","Montesino Toro Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","03/10/2021","N/A","N/A","N/A","N/A","GF2011067","","",""
"A. Fuente & Co., LLC","Montesino Toro Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","09/25/2020","N/A","N/A","N/A","N/A","GF2011068","","",""
"A. Fuente & Co., LLC","Casa Fuente Robusto Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/01/2020","N/A","N/A","N/A","N/A","GF2011069","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 80 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/01/2020","N/A","N/A","N/A","N/A","GF2011070","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 80 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/01/2020","N/A","N/A","N/A","N/A","GF2011071","","",""
"A. Fuente & Co., LLC","Bauza Fabulosos","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","09/25/2020","N/A","N/A","N/A","N/A","GF2011072","","",""
"A. Fuente & Co., LLC","Arturo Fuente Brevas Royale","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/05/2020","N/A","N/A","N/A","N/A","GF2011486","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 150 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011487","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 150 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011488","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 24 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011489","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 280 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011490","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 280 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011491","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 32 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011492","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 380 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011493","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 380 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011494","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 50 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011495","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 500 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011496","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 520 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011499","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 520 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011508","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 88 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011509","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Journey Forbidden X Lancero","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011510","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Reserva D'Chateau","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011511","","",""
"A. Fuente & Co., LLC","Montesino Diplomatico","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011566","","",""
"A. Fuente & Co., LLC","Montesino Gran Corona","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011567","","",""
"A. Fuente & Co., LLC","Montesino No. 2","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011568","","",""
"A. Fuente & Co., LLC","Casa Fuente Belicoso Fino Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011569","","",""
"A. Fuente & Co., LLC","Casa Fuente Churchill Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011570","","",""
"A. Fuente & Co., LLC","Casa Fuente Double Robusto Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/10/2020","N/A","N/A","N/A","N/A","GF2011571","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 1 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011584","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 1 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011585","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 4 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011586","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 75 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011587","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 75 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011588","","",""
"A. Fuente & Co., LLC","Flor de Ybor City Pierce Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011589","","",""
"A. Fuente & Co., LLC","Flor de Ybor City Pierce Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/09/2020","N/A","N/A","N/A","N/A","GF2011590","","",""
"A. Fuente & Co., LLC","Flor de Ybor City Presidente Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/13/2020","N/A","N/A","N/A","N/A","GF2011594","","",""
"A. Fuente & Co., LLC","Flor de Ybor City Toro Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/05/2020","N/A","N/A","N/A","N/A","GF2011597","","",""
"A. Fuente & Co., LLC","Flor de Ybor City Toro Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/05/2020","N/A","N/A","N/A","N/A","GF2011598","","",""
"A. Fuente & Co., LLC","Arturo Fuente Panetela Fina Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2011741","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Petit Lancero","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2011742","","",""
"A. Fuente & Co., LLC","Arturo Fuente Spanish Lonsdale Claro Claro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011743","","",""
"A. Fuente & Co., LLC","Arturo Fuente Spanish Lonsdale Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011744","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 108 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011745","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 108 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011746","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 185 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011747","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 185 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011748","","",""
"A. Fuente & Co., LLC","Bauza Jaguar","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011749","","",""
"A. Fuente & Co., LLC","Don Carlos No. 4","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011750","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 4 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011751","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 4 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011752","","",""
"A. Fuente & Co., LLC","Arturo Fuente Curly Head Deluxe Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011753","","",""
"A. Fuente & Co., LLC","Arturo Fuente Curly Head Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011754","","",""
"A. Fuente & Co., LLC","Arturo Fuente Curly Head Deluxe Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011755","","",""
"A. Fuente & Co., LLC","Arturo Fuente Seleccion Privada #1 Claro Claro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011756","","",""
"A. Fuente & Co., LLC","Arturo Fuente Seleccion Privada No. 1 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011757","","",""
"A. Fuente & Co., LLC","Bauza Medalla de Oro No. 1","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011758","","",""
"A. Fuente & Co., LLC","Montesino No. 1 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011759","","",""
"A. Fuente & Co., LLC","Montesino No. 1 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011760","","",""
"A. Fuente & Co., LLC","Bauza Grecos","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011761","","",""
"A. Fuente & Co., LLC","Arturo Fuente Seleccion Privada No. 1 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/19/2021","N/A","N/A","N/A","N/A","GF2011762","","",""
"A. Fuente & Co., LLC","Arturo Fuente Seleccion Privada No.1 Seleccion D'Oro Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011763","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 270 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011765","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 270 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011766","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 270 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011767","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 270 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011768","","",""
"A. Fuente & Co., LLC","Hemingway Classic V Sun Grown","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011769","","",""
"A. Fuente & Co., LLC","Arturo Fuente 8-5-8 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011770","","",""
"A. Fuente & Co., LLC","Arturo Fuente 8-5-8 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011771","","",""
"A. Fuente & Co., LLC","Arturo Fuente 8-5-8 Sun Grown","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","02/02/2021","N/A","N/A","N/A","N/A","GF2011773","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 85 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011774","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 85 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011775","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 85 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/27/2021","N/A","N/A","N/A","N/A","GF2011776","","",""
"A. Fuente & Co., LLC","Flor de Ybor City No. 85 Sun Grown","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/28/2021","N/A","N/A","N/A","N/A","GF2011778","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Perfecxion X","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/28/2021","N/A","N/A","N/A","N/A","GF2011779","","",""
"A. Fuente & Co., LLC","Bauza Casa Grande","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/28/2021","N/A","N/A","N/A","N/A","GF2011780","","",""
"A. Fuente & Co., LLC","Arturo Fuente Reserva Anejo No. 48 Xtra Viejo Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/28/2021","N/A","N/A","N/A","N/A","GF2011783","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Journey Reserva D?Chateau","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/28/2021","N/A","N/A","N/A","N/A","GF2011784","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 490 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/28/2021","N/A","N/A","N/A","N/A","GF2011785","","",""
"A. Fuente & Co., LLC","Tampa Sweetheart No. 490 Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","01/28/2021","N/A","N/A","N/A","N/A","GF2011786","","",""
